"YEAR","AE","AR","AT","AU","AZ","BD","BE","BG","BP_EU2","BP_FSU","BP_NONOECD","BP_OAP","BP_OECD","BP_OME","BP_TAF","BP_TAP","BP_TEU","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","BY","CA","CH","CL","CN","CO","CY","CZ","DE","DK","DZ","EC","EE","EG","ES","FI","FR","GB","GR","HK","HR","HU","ID","IE","IL","IN","IQ","IR","IS","IT","JP","KR","KW","KZ","LK","LT","LU","LV","MA","MK","MX","MY","NL","NO","NZ","OM","PE","PH","PK","PL","PT","QA","RO","RU","SA","SE","SG","SI","SK","TH","TM","TR","TT","TW","UA","US","UZ","VE","VN","ZA"
1965,0.0,0.0,0.0,0.067,"na",0.0,0.0,0.0,0.658,0.0,0.0,0.0,4.07,0.0,0.0,0.372,0.681,0.0,3.017,0.0,4.07,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.606,0.0,0.0,0.0,"na",0.0,"na",0.0,"na",0.0,"na",0.0,0.0,0.0,0.0,0.305,0.0,0.0,0.0,0.0,0.006,0.047,0.0,0.0,"na",0.0,0.0,0.0,"na",0.0,0.0,"na",0.023,0.0,0.0,"na",3.017,"na",0.0,0.0,0.0
1966,0.0,0.0,0.0,0.064,"na",0.0,0.0,0.0,0.9,0.0,0.0,0.0,4.482,0.0,0.0,0.372,0.928,0.0,3.182,0.0,4.482,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"na",0.0,0.0,0.0,0.088,0.0,0.0,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.758,0.0,0.0,0.0,"na",0.0,"na",0.0,"na",0.0,"na",0.0,0.0,0.0,0.0,0.308,0.0,0.0,0.0,0.0,0.009,0.045,0.0,0.0,"na",0.0,0.0,0.0,"na",0.0,0.0,"na",0.028,0.0,0.0,"na",3.182,"na",0.0,0.0,0.0
1967,0.0,0.0,0.0,0.066,"na",0.0,0.0,0.0,0.977,0.0,0.0,0.0,4.522,0.0,0.0,0.322,1.016,0.0,3.184,0.0,4.522,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"na",0.0,0.0,0.0,0.137,0.0,0.0,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.786,0.0,0.0,0.0,"na",0.0,"na",0.0,"na",0.0,"na",0.0,0.0,0.0,0.0,0.257,0.0,0.0,0.0,0.0,0.01,0.043,0.0,0.0,"na",0.0,0.0,0.0,"na",0.0,0.0,"na",0.039,0.0,0.0,"na",3.184,"na",0.0,0.0,0.0
1968,0.0,0.0,0.0,0.064,"na",0.0,0.0,0.0,1.09,0.0,0.0,0.0,5.005,0.0,0.0,0.357,1.131,0.0,3.518,0.0,5.005,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"na",0.0,0.0,0.0,0.21,0.0,0.0,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.818,0.0,0.0,0.0,"na",0.0,"na",0.0,"na",0.0,"na",0.0,0.0,0.0,0.0,0.293,0.0,0.0,0.0,0.0,0.011,0.052,0.0,0.0,"na",0.0,0.0,0.0,"na",0.0,0.0,"na",0.041,0.0,0.0,"na",3.518,"na",0.0,0.0,0.0
1969,0.0,0.0,0.0,0.064,"na",0.0,0.0,0.0,1.186,0.0,0.0,0.0,5.263,0.0,0.0,0.364,1.227,0.0,3.672,0.0,5.263,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"na",0.0,0.0,0.0,0.241,0.0,0.0,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.863,0.0,0.0,0.0,"na",0.0,"na",0.0,"na",0.0,"na",0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.019,0.063,0.0,0.0,"na",0.0,0.0,0.0,"na",0.0,0.0,"na",0.04,0.0,0.0,"na",3.672,"na",0.0,0.0,0.0
1970,0.0,0.011,0.0,0.059,"na",0.0,0.0,0.0,1.57,0.0,0.127,0.0,5.687,0.0,0.0,0.402,1.611,0.0,3.674,0.127,5.814,0.116,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.208,0.0,0.0,0.0,"na",0.0,0.011,0.0,0.31,0.0,0.0,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.957,0.055,0.0,0.0,"na",0.0,"na",0.0,"na",0.0,"na",0.0,0.0,0.0,0.0,0.288,0.0,0.0,0.0,0.0,0.013,0.042,0.0,0.0,"na",0.0,0.029,0.0,"na",0.0,0.0,"na",0.038,0.0,0.0,"na",3.674,"na",0.0,0.0,0.0
1971,0.0,0.011,0.0,0.06,"na",0.0,0.0,0.0,1.597,0.0,0.507,0.0,5.801,0.0,0.037,0.397,1.636,0.0,3.753,0.485,6.308,0.143,"na",0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.227,0.0,0.0,0.0,"na",0.0,0.012,0.0,0.315,0.0,0.0,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.952,0.053,0.0,0.0,"na",0.0,"na",0.0,"na",0.0,"na",0.0,0.0,0.0,0.0,0.284,0.0,0.051,0.0,0.0,0.023,0.032,0.0,0.0,"na",0.0,0.036,0.0,"na",0.0,0.0,"na",0.037,0.008,0.0,"na",3.753,"na",0.0,0.0,0.0
1972,0.0,0.015,0.0,0.063,"na",0.0,0.0,0.0,1.567,0.0,0.507,0.0,6.254,0.0,0.037,0.404,1.612,0.0,4.225,0.482,6.76,0.162,"na",0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.231,0.0,0.0,0.0,"na",0.0,0.014,0.0,0.343,0.0,0.0,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.861,0.056,0.0,0.0,"na",0.0,"na",0.0,"na",0.0,"na",0.0,0.0,0.0,0.0,0.284,0.0,0.051,0.0,0.0,0.042,0.026,0.0,0.0,"na",0.0,0.051,0.0,"na",0.0,0.0,"na",0.04,0.008,0.0,"na",4.225,"na",0.0,0.0,0.0
1973,0.0,0.011,0.0,0.076,"na",0.0,0.026,0.0,1.684,0.0,0.54,0.0,6.72,0.0,0.038,0.415,1.734,0.0,4.56,0.513,7.26,0.17,"na",0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.238,0.0,0.0,0.0,"na",0.0,0.013,0.0,0.351,0.0,0.0,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.87,0.057,0.0,0.0,"na",0.0,"na",0.0,"na",0.0,"na",0.036,0.0,0.0,0.0,0.281,0.0,0.052,0.0,0.0,0.05,0.045,0.0,0.0,"na",0.0,0.09,0.0,"na",0.0,0.0,"na",0.045,0.007,0.0,"na",4.523,"na",0.0,0.0,0.0
1974,0.0,0.011,0.0,0.097,"na",0.0,0.024,0.0,1.772,0.0,0.567,0.0,7.117,0.0,0.04,0.565,1.82,0.0,4.722,0.538,7.684,0.178,"na",0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.244,0.0,0.0,0.0,"na",0.0,0.012,0.0,0.357,0.0,0.0,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.961,0.07,0.0,0.0,"na",0.0,"na",0.0,"na",0.0,"na",0.105,0.0,0.0,0.0,0.398,0.0,0.06,0.0,0.0,0.053,0.041,0.0,0.0,"na",0.0,0.081,0.0,"na",0.0,0.0,"na",0.047,0.006,0.0,"na",4.617,"na",0.0,0.0,0.0
1975,0.0,0.012,0.0,0.111,"na",0.0,0.019,0.0,1.874,0.0,0.675,0.0,7.127,0.0,0.039,0.601,1.928,0.0,4.587,0.648,7.803,0.196,"na",0.0,0.0,0.012,0.0,0.043,0.0,0.0,0.254,0.0,0.0,0.0,"na",0.0,0.026,0.0,0.32,0.0,0.0,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.902,0.086,0.0,0.0,"na",0.0,"na",0.0,"na",0.0,"na",0.117,0.0,0.182,0.0,0.404,0.0,0.06,0.0,0.0,0.048,0.053,0.0,0.0,"na",0.0,0.07,0.0,"na",0.0,0.0,"na",0.05,0.005,0.0,"na",4.47,"na",0.0,0.0,0.0
1976,0.0,0.011,0.0,0.11,"na",0.0,0.013,0.0,1.879,0.0,0.784,0.0,7.919,0.0,0.042,0.585,1.92,0.0,5.397,0.759,8.703,0.196,"na",0.16,0.0,0.017,0.0,0.046,0.0,0.0,0.289,0.0,0.0,0.0,"na",0.0,0.042,0.0,0.302,0.0,0.0,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.863,0.083,0.0,0.0,"na",0.0,"na",0.0,"na",0.0,"na",0.131,0.0,0.197,0.0,0.393,0.0,0.055,0.0,0.0,0.041,0.052,0.0,0.0,"na",0.0,0.08,0.0,"na",0.0,0.0,"na",0.036,0.004,0.0,"na",5.106,"na",0.0,0.0,0.0
1977,0.0,0.012,0.0,0.097,"na",0.0,0.056,0.0,1.956,0.0,0.856,0.0,8.322,0.0,0.043,0.593,2.009,0.0,5.701,0.831,9.178,0.253,"na",0.242,0.0,0.018,0.0,0.043,0.0,0.0,0.282,0.0,0.0,0.0,"na",0.0,0.07,0.0,0.311,0.0,0.0,0.0,"na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.844,0.121,0.0,0.0,"na",0.0,"na",0.003,"na",0.0,"na",0.134,0.0,0.196,0.0,0.375,0.0,0.055,0.0,0.0,0.06,0.053,0.0,0.0,"na",0.0,0.081,0.0,"na",0.0,0.0,"na",0.049,0.005,0.0,"na",5.326,"na",0.0,0.0,0.0
