title         = ASCII CSV version of worksheet "Hydroelectricity: Generation" from the 2018 British Petroleum Statistical Review
file URL      = http://mazamascience.com/Data/Energy/BP/2018/BP_2018_hydro_consumption_twh.csv
original data = http://www.bp.com/content/dam/bp/en/corporate/excel/energy-economics/statistical-review-2018/bp-statistical-review-of-world-energy-2018-underpinning-data.xlsx
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for non-standard BP groupings (e.g. BP_TNA = Total North America)
units         = terawatt-hours

"YEAR","AE","AR","AT","AU","AZ","BD","BE","BG","BP_EU2","BP_FSU","BP_NONOECD","BP_OAP","BP_OECD","BP_OME","BP_TAF","BP_TAP","BP_TEU","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","BY","CA","CH","CL","CN","CO","CY","CZ","DE","DK","DZ","EC","EE","EG","ES","FI","FR","GB","GR","HK","HR","HU","ID","IE","IL","IN","IQ","IR","IS","IT","JP","KR","KW","KZ","LK","LT","LU","LV","MA","MK","MX","MY","NL","NO","NZ","OM","PE","PH","PK","PL","PT","QA","RO","RU","SA","SE","SG","SI","SK","TH","TM","TR","TT","TW","UA","US","UZ","VE","VN","ZA"
1965,0.0,1.211,16.083,7.69,"na",0.0,0.272,2.002,216.819,85.321,212.294,9.978,707.476,0.556,14.279,150.558,302.516,2.346,324.958,39.793,919.77,23.975,"na",117.123,24.097,3.955,22.097,3.544,0.0,2.232,16.212,0.022,0.393,0.345,"na",1.732,20.033,9.354,46.881,4.612,0.831,0.0,"na",0.071,1.825,0.942,0.0,19.167,0.071,1.719,0.641,42.634,70.045,0.71,0.0,"na",0.365,"na",0.086,"na",1.213,"na",8.861,0.597,0.0,49.365,10.019,0.0,2.63,0.76,2.196,0.903,3.975,0.0,0.999,"na",0.0,46.452,0.0,"na",2.223,1.096,"na",2.179,0.0,3.673,"na",198.974,"na",1.397,0.34,0.0
1966,0.0,1.229,17.331,7.345,"na",0.0,0.299,2.011,235.686,96.21,232.439,9.992,753.846,0.606,15.649,163.388,325.221,2.546,338.923,44.349,986.286,26.225,"na",128.821,27.519,4.163,22.486,3.937,0.0,2.104,17.534,0.022,0.362,0.393,"na",1.825,27.743,10.381,52.208,4.536,1.892,0.0,"na",0.106,2.373,0.849,0.0,20.015,0.093,1.847,0.624,43.72,79.811,0.985,0.0,"na",0.399,"na",0.078,"na",1.054,"na",10.165,0.707,0.0,48.693,10.805,0.0,2.824,0.795,2.196,0.899,5.276,0.0,1.034,"na",0.0,45.533,0.0,"na",2.13,1.273,"na",2.338,0.0,3.814,"na",199.937,"na",1.432,0.39,0.0
1967,0.0,1.255,17.698,7.606,"na",0.0,0.238,2.024,227.656,92.799,234.412,10.204,774.833,0.734,16.158,154.023,325.063,2.829,371.417,46.956,1009.245,27.431,"na",133.126,29.85,4.256,19.383,4.389,0.0,1.896,16.652,0.022,0.407,0.438,"na",1.967,23.06,11.629,45.378,4.885,1.816,0.0,"na",0.08,2.665,0.802,0.0,22.398,0.106,1.989,0.664,42.34,69.004,0.953,0.0,"na",0.41,"na",0.088,"na",0.932,"na",11.071,0.738,0.0,53.324,11.221,0.0,3.164,1.074,2.603,0.954,5.481,0.0,1.476,"na",0.0,49.312,0.0,"na",1.825,1.741,"na",2.382,0.0,3.593,"na",227.221,"na",1.662,0.43,0.0
1968,0.0,1.48,18.185,7.951,"na",0.0,0.244,1.304,230.921,109.009,266.853,10.164,792.21,0.814,18.623,164.447,336.872,3.081,377.119,49.912,1059.063,28.708,"na",136.321,29.515,3.571,22.87,4.891,0.0,1.467,16.899,0.022,0.557,0.455,"na",3.001,24.819,10.489,50.423,3.722,1.503,0.0,"na",0.093,3.292,0.768,0.0,25.849,0.128,2.139,0.687,42.677,69.204,0.929,0.0,"na",0.474,"na",0.09,"na",1.058,"na",12.644,0.818,0.0,60.228,11.773,0.0,3.394,0.703,3.129,1.009,5.188,0.0,1.56,"na",0.0,48.786,0.0,"na",1.675,1.578,"na",3.175,0.0,5.233,"na",228.155,"na",2.793,0.48,0.0
1969,0.0,1.326,16.718,8.684,"na",0.0,0.23,1.838,226.488,118.546,289.911,10.266,832.532,0.952,21.583,175.383,331.779,3.396,417.805,53.95,1122.443,30.724,"na",148.227,28.245,4.026,23.259,5.438,0.0,1.198,13.713,0.022,0.362,0.508,"na",3.991,31.144,8.745,52.942,3.256,2.258,0.0,"na",0.093,3.443,0.581,0.0,28.7,0.141,2.303,0.86,41.166,76.581,1.429,0.0,"na",0.549,"na",0.078,"na",1.368,"na",13.55,1.03,0.0,57.395,11.636,0.0,3.699,0.8,3.301,0.81,6.311,0.0,2.223,"na",0.0,41.856,0.0,"na",1.304,1.18,"na",3.445,0.0,3.986,"na",256.029,"na",3.279,0.54,0.0
1970,0.0,1.516,21.29,10.171,"na",0.0,0.246,2.152,240.09,128.123,322.322,10.322,852.239,0.928,27.076,179.119,346.958,3.58,423.82,65.885,1174.56,39.801,"na",155.324,29.173,4.304,24.037,6.053,0.0,1.71,17.534,0.022,0.583,0.557,"na",4.689,28.27,9.524,56.681,4.536,2.921,0.0,"na",0.093,4.185,0.802,0.0,30.436,0.172,2.479,1.413,40.373,73.408,1.221,0.0,"na",0.74,"na",0.086,"na",1.346,"na",15.004,1.304,0.0,57.854,12.67,0.0,3.827,1.542,2.921,1.769,5.804,0.0,2.767,"na",0.0,41.542,0.0,"na",1.967,2.002,"na",3.033,0.0,3.558,"na",253.492,"na",4.106,0.6,0.0
1971,0.0,1.525,16.82,11.507,"na",0.0,0.134,2.174,237.456,129.723,338.95,10.565,882.682,0.89,25.837,194.692,351.107,3.754,443.74,72.78,1221.633,43.199,"na",157.03,29.044,4.397,29.075,6.423,0.0,1.176,13.455,0.022,0.327,0.61,"na",5.047,32.387,10.681,48.857,3.373,2.943,0.0,"na",0.093,1.379,0.465,0.0,33.384,0.199,2.665,1.54,39.079,79.408,1.32,0.0,"na",0.826,"na",0.049,"na",1.52,"na",14.456,1.313,0.0,63.94,14.394,0.0,4.278,1.706,3.814,1.569,6.17,0.0,4.499,"na",0.0,52.034,0.0,"na",1.476,2.294,"na",2.61,0.0,3.094,"na",272.254,"na",5.396,0.614,0.093
1972,0.0,1.485,17.288,11.553,"na",0.175,0.18,2.095,247.831,126.527,358.267,10.967,918.499,0.869,29.837,203.609,364.169,4.568,465.467,82.59,1276.766,50.681,"na",171.331,24.234,5.224,32.951,7.115,0.0,1.255,13.206,0.022,0.499,1.074,"na",5.162,34.79,10.38,48.831,3.373,2.965,0.0,"na",0.106,1.233,0.686,0.0,32.403,0.199,3.5,1.703,41.348,83.948,1.368,0.0,"na",0.847,"na",0.057,"na",1.596,"na",15.419,1.242,0.0,68.138,15.265,0.0,4.441,1.432,4.013,1.5,7.086,0.0,7.341,"na",0.0,53.775,0.0,"na",1.546,2.148,"na",3.204,0.0,3.642,"na",278.716,"na",6.024,0.422,0.826
1973,0.0,2.961,19.209,12.286,"na",0.331,0.171,2.572,247.245,126.13,373.33,11.09,919.422,0.495,29.804,197.179,369.98,3.752,473.316,92.591,1292.752,57.89,"na",178.831,26.587,5.317,36.827,7.743,0.0,1.083,15.229,0.022,0.756,0.579,"na",5.153,28.521,10.58,47.696,3.838,2.462,0.0,"na",0.093,1.556,0.64,0.0,34.507,0.292,2.965,2.181,37.523,69.973,1.284,0.0,"na",0.696,"na",0.051,"na",1.192,"na",16.272,1.308,0.0,73.654,15.097,0.0,4.769,1.847,4.234,1.455,7.325,0.0,7.548,"na",0.0,59.905,0.0,"na",1.322,2.329,"na",2.603,0.0,3.394,"na",278.213,"na",6.223,0.42,0.19
1974,0.0,4.972,22.712,13.874,"na",0.243,0.24,2.082,267.274,136.109,414.186,11.46,1004.86,1.15,35.089,215.163,399.545,4.823,522.001,106.317,1419.047,65.679,"na",197.936,27.85,6.046,41.675,8.792,0.0,1.732,17.638,0.022,0.499,0.579,"na",6.116,30.921,12.703,56.23,4.071,2.232,0.0,"na",0.08,1.724,0.791,0.0,33.203,0.407,3.266,2.258,37.795,79.009,1.906,0.0,"na",0.998,"na",0.075,"na",1.337,"na",16.78,1.295,0.0,76.654,15.189,0.0,5.224,2.223,4.256,2.121,7.828,0.0,8.476,"na",0.0,57.302,0.0,"na",2.223,2.979,"na",3.356,0.0,4.711,"na",307.285,"na",7.712,0.42,1.123
1975,0.0,5.135,23.795,14.888,"na",0.436,0.183,2.453,268.337,129.723,429.022,11.832,1011.43,1.55,36.879,229.482,407.211,5.443,516.428,115.286,1440.452,72.287,"na",195.037,32.236,6.139,43.611,9.732,0.0,1.816,17.059,0.021,0.327,0.605,"na",6.793,26.058,12.209,60.108,3.838,2.227,0.0,"na",0.164,1.808,0.523,0.0,39.669,0.464,3.429,2.206,41.021,80.678,1.683,0.0,"na",1.077,"na",0.065,"na",1.016,"na",15.176,1.295,0.0,77.432,16.664,0.0,5.467,2.223,4.897,1.988,6.41,0.0,8.711,"na",0.0,57.686,0.0,"na",2.002,2.97,"na",5.904,0.0,5.255,"na",306.215,"na",8.932,0.5,1.109
1976,0.0,4.941,20.566,14.154,"na",0.494,0.109,2.952,235.749,139.702,460.814,12.254,974.415,2.03,40.861,232.712,377.007,6.33,509.904,128.713,1435.228,82.913,"na",202.833,25.849,6.236,44.194,10.226,0.0,1.441,13.847,0.019,0.384,0.632,"na",8.004,20.76,9.482,48.565,4.536,2.077,0.0,"na",0.164,1.061,0.593,0.0,41.498,0.464,3.836,2.349,39.176,83.517,1.789,0.0,"na",1.109,"na",0.041,"na",0.998,"na",17.249,1.184,0.0,82.051,15.499,0.0,5.803,2.634,5.317,1.64,4.787,0.0,8.105,"na",0.0,54.871,0.0,"na",2.019,3.173,"na",8.375,0.0,4.278,"na",289.822,"na",10.584,0.557,1.874
1977,0.0,5.705,24.921,13.544,"na",0.437,0.224,3.522,311.779,151.276,503.446,12.401,969.113,2.568,45.083,225.824,456.695,7.102,443.623,142.955,1472.559,93.48,"na",198.564,34.89,6.501,46.134,10.452,0.0,1.967,17.582,0.026,0.27,0.95,"na",9.038,39.633,12.182,76.323,3.954,2.13,0.0,"na",0.15,1.763,0.744,0.0,45.277,0.57,3.964,2.52,51.139,72.223,1.393,0.0,"na",1.214,"na",0.079,"na",1.365,"na",19.202,0.99,0.0,72.209,14.72,0.0,6.024,1.927,6.315,1.959,9.966,0.0,9.338,"na",0.0,53.532,0.0,"na",2.408,2.859,"na",8.572,0.0,4.026,"na",225.857,"na",12.167,0.6,1.945
1978,0.0,7.663,24.941,14.675,"na",0.506,0.223,2.908,304.033,164.048,547.042,12.817,1041.663,2.895,46.085,235.117,456.181,9.825,519.54,157.909,1588.705,102.746,"na",217.001,31.561,6.828,43.226,12.071,0.0,1.825,18.362,0.027,0.256,1.083,"na",9.93,40.385,9.799,68.36,4.071,3.31,0.0,"na",0.141,1.26,0.698,0.0,56.175,0.72,6.209,2.605,45.491,68.271,1.808,0.0,"na",1.366,"na",0.075,"na",1.416,"na",16.21,1.065,0.0,80.875,15.66,0.0,6.2,2.802,7.84,1.948,10.811,0.0,10.62,"na",0.0,57.779,0.0,"na",2.259,1.878,"na",9.335,0.0,4.967,"na",286.329,"na",12.233,0.8,1.905
1979,0.0,10.536,28.097,14.246,"na",0.587,0.234,3.315,318.915,179.613,593.928,13.713,1073.657,3.201,47.28,255.173,480.141,9.631,516.571,179.176,1667.585,116.58,"na",212.622,29.684,6.943,48.556,13.259,0.0,2.289,18.384,0.029,0.292,0.977,"na",9.608,46.556,10.871,66.419,4.303,3.951,0.0,"na",0.141,1.401,0.826,0.0,54.169,1.047,5.383,2.819,45.947,79.112,2.296,0.0,"na",1.462,"na",0.082,"na",1.582,"na",18.013,1.304,0.0,88.993,18.443,0.0,6.7,2.775,8.476,1.804,11.213,0.0,11.34,"na",0.0,61.231,0.0,"na",1.884,3.063,"na",10.289,0.0,4.57,"na",285.935,"na",14.248,1.0,1.158
1980,0.0,14.973,29.11,13.467,"na",0.583,0.278,3.708,302.42,183.604,630.825,13.772,1067.784,3.411,46.03,271.623,465.55,9.691,521.436,200.676,1698.609,128.907,"na",222.512,33.448,7.341,58.221,14.447,0.0,2.395,19.069,0.034,0.256,1.158,"na",9.802,29.551,10.217,69.527,3.954,3.774,0.0,"na",0.115,1.268,0.837,0.0,55.441,0.698,5.582,3.053,45.244,86.356,1.92,0.0,"na",1.48,"na",0.086,"na",1.515,"na",16.922,1.662,0.0,83.982,19.365,0.0,7.014,3.438,8.887,2.35,8.015,0.0,12.644,"na",0.0,59.255,0.0,"na",2.257,1.343,"na",11.348,0.0,2.93,"na",282.002,"na",14.584,1.488,1.003
1981,0.0,14.5,30.847,13.866,"na",0.625,0.381,3.615,298.637,186.6,652.06,13.945,1073.173,3.508,48.377,288.897,471.332,10.188,516.188,203.65,1725.233,130.765,"na",225.058,35.125,7.593,65.513,14.265,0.0,2.059,19.915,0.035,0.362,1.056,"na",10.213,21.944,13.655,72.195,4.419,3.345,0.0,"na",0.164,1.264,0.861,0.002,59.083,0.583,6.094,3.084,43.034,86.851,2.598,0.0,"na",1.572,"na",0.092,"na",1.024,"na",24.62,1.838,0.0,93.285,19.68,0.0,8.004,3.69,9.281,2.135,5.019,0.0,12.737,"na",0.0,60.219,0.0,"na",1.966,2.793,"na",12.616,0.0,4.791,"na",266.51,"na",15.097,1.507,1.653
